"","abbreviation","code","PM_PI","PP_PI","LSM_PI","LSP_PI"
"1","AC",12,0,0,0,0
"2","AL",27,0,0,0,0
"3","AP",16,0,0,0,0
"4","AM",13,0,0,0,0
"5","BA",29,0,0.115,0,0
"6","CE",23,0,0,0,0
"7","DF",53,0,0,0,0
"8","ES",32,0,0,0,0
"9","GO",52,0,0.117,0,0
"10","MA",21,0.116,0,0.116,0.104
"11","MT",51,0.033,0,0.032,0
"12","MS",50,0,0,0,0
"13","MG",31,0,0,0,0
"14","PA",15,0,0,0,0
"15","PB",25,0.768,0.738,0.769,0.785
"16","PR",41,0,0,0,0
"17","PE",26,0.033,0.028,0.033,0.039
"18","PI",22,0,0,0,0
"19","RJ",33,0,0,0,0
"20","RN",24,0,0,0,0
"21","RS",43,0,0,0,0
"22","RO",11,0,0,0,0
"23","RR",14,0,0,0,0
"24","SC",42,0.012,0,0.012,0
"25","SP",35,0,0,0,0
"26","SE",28,0,0,0,0
"27","TO",17,0,0,0,0
